Model,Accuracy,Precision,Recall,F1-Score
Baseline,0.9721973094170404,0.9916666666666667,0.7986577181208053,0.8847583643122676
HITL,0.9174887892376682,0.9830508474576272,0.38926174496644295,0.5576923076923077
